118 LIMITED,AFX
INDEPENDENT HEALTH GROUP,NXP
INDEPENDENT VASCULAR SERVICES LTD,NNB
INFORM,NI6
INFORM HEALTH & FITNESS LTD,NIV
INGEUS UK LTD,AYE
INHEALTH LIMITED,NV1
INHEALTH PAIN MANAGEMENT SOLUTIONS LIMITED,NY6
INMED ENTERPRISE LTD,AW9
INMIND HEALTHCARE - HEAD OFFICE,AHL
INNOVATIONS IN PRIMARY CARE LIMITED,NWR
INSIDEVUE LIMITED,NHA
INSIGHT HEALTHCARE,NDC
INSPIRA HEALTH,ATW
INTEGRATED CARE 24 LTD,NVE
INTEGRATED CARE PARTNERSHIP,AYC
INTEGRATED COMMUNITY CARE LTD,ANN
INTEGRATED FAMILY HEALTHCARE LTD,DHH
INTELLIGENT PRESCRIBING SOLUTIONS LTD,AHG
INTERCOM TRUST,AWJ
INTERGRAL MEDICAL HOLDINGS IMH OR MALLING HEALTH,DJN
INTERHEALTH CANADA UK,NCJ
INTERHEALTH CARE SERVICES (UK) LTD,NTD
INTERHEARING LTD,ATF
INTERSERVE HEALTHCARE,AH8
INTRAHEALTH LTD,AA4
INVICTA HEALTH COMMUNITY INTEREST COMPANY,NYF
INVIZO LTD,NJV
IP&E (TRADING) LIMITED,ANK
IP&E LIMITED,ANG
IPLATO HEALTHCARE LIMITED,NNG
IPSCOM,NY3
IQ CARE LTD,AVE
ISIGHT,NCR
ISIS CHIROPRACTIC CENTRES,AAJ
IVRY STREET MINOR SURGERY UNIT,NY2
JAMES STREET CLINIC,NIR
JAYATI TARAFDER (AQP),NAR
JB PHYSIOTHERAPY,AWM
JEDHEATH LTD,NVJ
JEESAL AKMAN CARE CORPORATION LTD,NLN
JMA HEALTHCARE LTD,NFY
JOHN HETHERINGTON (AQP),NAP
JOHN LOW LTD,AXQ
JOHN MUNROE HOSPITAL,NL0
JOHN TAYLOR HOSPICE COMMUNITY INTEREST COMPANY,NR9
JORVIK PODIATRY LTD,AQD
JUDITH HANDLEY PHYSIOTHERAPY SERVICES,NHJ
K & W HEALTHCARE LTD,ANW
KALEIDOSCOPE PROJECT,NQ8
KEECH HOSPICE CHARITY,DC9
KEMP TOWN HEALTHCARE LTD,ADK
KERNOW HEALTH CIC,AYG
KESSON PHYSIOTHERAPY LTD,ALD
KEYSTONES MENTAL HEALTH SERVICES,AYH
KILBURN PRIMARY CARE CO-OP LIMITED,ANX
KIMS HOSPITAL,ADP
KING EDWARD VII'S HOSPITAL SISTER AGNES HQ,AHR
KINGS IFM,DEQ
KINGS LYNN CHIROPRACTIC CLINIC LTD,AJR
KINGSNORTH MEDICAL SERVICES LTD,ACV
KINGSTON GENERAL PRACTICE CHAMBERS LIMITED,APG
KINGSWINFORD PHYSIOTHERAPY CLINIC LTD,DGY
KIRTON LINDSEY SURGERY MCATS,AXW
KLEYN HEALTHCARE,NFO
KNOWLE WEST HEALTH PARK COMPANY,DEG
LAKELAND DIALYSIS LTD,NMU
LAKESIDE + LTD,AH7
LAKESIDE MEDICAL DIAGNOSTICS,NBI
LAMBETH COMMUNITY DIABETES SERVICE,NBW
LANCASHIRE CHILD HEALTH INFORMATION SERVICE,DE4
LANCASHIRE WOMEN'S CENTRES,AKR
LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD,NLE
LANE PHYSIOTHERAPY CLINIC,NBS
LEA VALE MEDICAL GROUP (HQ),AMJ
LEA VALLEY HEALTH LTD,ANF
LEICESTER CITY CENTRAL HEALTHCARE LTD,AQX
"LEICESTER, LEICESTERSHIRE & RUTLAND PROVIDER COMPANY",NI0
LENTELLS LIMITED,AJ2
LEODIS CARE LIMITED,NNL
LEONG ENT LTD,AJK
LEWISHAM 4 HEALTH LTD,AW0
LEWISHAM HEALTHCARE LIMITED,AVX
LEWISHAM PRIMARY CARE PARTNERSHIP LIMITED,AVY
LEXDEN PHYSIOTHERAPY LTD,NHB
LEYBURN MEDICAL PRACTICE,DH9
LEYLAND PHYSIOTHERAPY,AA7
LIBERTY PHYSIO & REHAB LTD,NBL
LIFELINE PROJECT LTD,AAR
LIFESTYLE PHYSIOTHERAPY AND SPORTS INJURY CLINIC,NBA
LIGHTHOUSE HEALTHCARE LIMITED,NES
LINCOLN CHIROPRACTIC CLINIC,NCB
LINCOLNSHIRE AND DISTRICTS MEDICAL SERVICES,NBF
LINCOLNSHIRE EAST HEALTHCARE LIMITED,DEE
LINCS HEALTH LIMITED,AHA
LINIA LTD,DEV
LIVABILITY,NXW
LIVERPOOL GP PROVIDER ORGANISATION,DD8
LIVEWELL SOUTHWEST,NR5
LIVING WELL INTERNATIONAL CIC,DAH
LLOYDS PHARMACY CLINICAL HOMECARE,AW6
LLR PROVIDER COMPANY LTD,DAY
LOCAL CARE DIRECT,ARN
LOCAL INTEGRATED NETWORK OF CARE SERVICES HQ,AK6
LOCALA COMMUNITY PARTNERSHIPS CIC,NL8
LODESTONE PATIENT CARE,NVA
LOEWS HEALTHCARE LTD,AVF
LONDON CANCER - UCLPARTNERS,AAK
LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE,NKB
LONDON EYE HOSPITAL LTD,AEC
LONDON MEDICAL ASSOCIATES LIMITED,APD
LONDON VISION CLINIC,DD0
LONDON WOUND HEALING CENTRES LTD,NVT
LONGVIEW PRIMARY SURGICAL SERVICES LTD,NCG
LOUGHBOROUGH PHYSIOTHERAPY AND SPORTS INJURIES CLINIC LTD,NGJ
LOWS PHARAMCY,NEX
LUDLOW STREET HEALTHCARE (HQ),AHX
LYME NHS CLINICAL SERVICES,NN9
LYMPHOEDEMA SPECIALIST SERVICES LTD,AP4
M & M (CHEMISTS) LTD,NET
M JOSEPH LTD,DAW
M.D & A.G BURDON LTD,NEW
MACMILLAN CANCER SUPPORT HQ,AG6
MAKING SPACE,NMQ
MALLING HEALTH UK LIMITED,ANH
MANCHESTER EYE AND COSMETIC CLINIC LIMITED,AW7
MANCHESTER FERTILITY SERVICES LIMITED,DFM
MANCHESTER MEDICAL SERVICES,DHR
MANCHESTER SURGICAL SERVICES LTD,NN5
MANOR PRIMARY CARE GPSI SERVICES,DGC
MAPLYN CARE SERVICES (MCS),NFK
MARIE STOPES INTERNATIONAL,NTG
MARS HEALTH CARE SERVICES UK LTD,DG4
MARSHGATE MEDICAL SERVICES LTD,NQD
MASTERCALL HEALTHCARE,NCE
MATRIX HEALTH SERVICES UK LIMITED,NAH
MEARS GROUP PLC,AMQ
MED IMAGING HEALTHCARE LIMITED,DEX
MEDCARE SOLUTIONS LIMITED,DJ4
MEDDIGITAL,DDX
MEDEFER,AY1
MEDICAL AND ORTHOPAEDIC SERVICES HQ,AG9
MEDICAL ILLUSTRATION UK LTD,AJJ
MEDICAL IMAGING PARTNERSHIP LTD,DC8
MEDICAL SKILLS CARE LTD,AL0
MEDICO PARTNERS LIMITED,AX8
MEDISCAN DIAGNOSTICS SERVICES LIMITED,NBG
MEDISICO CLINICS LTD,AMX
MEDWAY COMMUNITY HEALTHCARE,NQ7
MEDWAY PRACTICES ALLIANCE LTD (MPA),AVL
MEE HEALTHCARE,NKF
MENTAL HEALTH CARE (UK) LTD,AJE
MENTAL HEALTH CONCERN,APX
MENTAL HEALTH MATTERS,NO2
MERSEA ROAD CLINIC,NGI
MID AND NORTH ESSEX MIND,DD6
MID HAMPSHIRE HEALTHCARE LIMITED,ARA
MIDDLEWOOD LTD,AQ0
MIDLANDS EYE CARE LIMITED,AEF
MIDLANDS PSYCHOLOGY CIC,NRX
MILDMAY UK,NYE
MILLENNIUM HEALTH LTD,DE5
MILTON KEYNES URGENT CARE SERVICES CIC HQ,NPH
MIND CENTRE,NFG
MIND IN BEXLEY,AME
MIND IN MID HERTS,DAX
MINDMASTERS,AJD
MINOR OPS LTD,NX2
MITCHAM PHYSIOTHERAPY LTD,NKG
MK GP PHYSIOTHERAPY (B.J. WETHERELL LTD),NCA
MKGP LTD,DHL
MKGP PLUS LTD,DHK
MODALITY PARTNERSHIP,DHQ
MODUS CARE,NXQ
MOLECULAR IMAGING SOLUTIONS LTD (MIS),NV5
MOLNLYCKE HEALTHCARE LTD,NRA
MONMEDICAL LTD,ARX
MOUNTAIN HEALTHCARE LIMITED,AV9
MOUNTS BAY MEDICAL LTD,DGM
MR SIMON TYRELL (AQP),NAV
MR STEVE MAGUINESS (AQP),NAT
MUBEEN AHMED LOCUMS LTD,DFG
MULBERRY HEALTH LTD,NKY
MUNDESLEY HOSPITAL,AXL
MY GENERAL PRACTICE LIMITED,NWL
MYA COSMETIC SURGERY LIMITED,AWT
NABIDA CARE MANAGEMENT,NFA
NACRO,AYP
NAMRON CARE PROVIDER LTD,AQV
NATIONAL CENTRE FOR EATING DISORDERS,DFA
NATIONAL CENTRE FOR YOUNG PEOPLE WITH EPILEPSY,NMY
NATIONS HEALTHCARE LTD,NTA
NATURAL LOOK CLINIC,DE6
NAVAS,NNW
NAVIGATION SUPPORT & CARE SERVICES LTD,NIN
NAVIGO,NQL
NELSON HEALTH LTD,NW8
NEMS COMMUNITY BENEFIT SERVICES LTD,AGQ
NEMS HEALTHCARE,NLV
NENE COMMISSIONING COMMUNITY INTEREST COMPANY,NQE
NESTOR PRIMECARE SERVICES LTD,ATQ
NETCARE HEALTHCARE UK,NT7
NETWORK GROUP HOLDINGS LTD,DJD
NEW FOREST CLINICS LTD,NFS
NEW FOREST HEALTHCARE LTD,ARV
NEW FOREST PHYSIOTHERAPY CLINIC LTD,ANP
NEW HAYESBANK SURGERY CLINICS,AC6
NEW MEDICAL SYSTEMS LIMITED,ACG
NEW WAVES INTEGRATED CARE LIMITED,AXN
NEWBRIDGE CARE SYSTEMS LTD,ATM
NEWCASTLE TALKING THERAPIES (HQ),AM8
NEWCO. ENFIELD,DDJ
NEWPORT CARDIAC CENTRE,NIX
NEXT STEPS LTD HQ,NFT
NHS INNOVATIONS SOUTH EAST LIMITED,NQY
NHS PRACTITIONER HEALTH PROGRAMME,AT0
NHS PROPERTY SERVICES LIMITED,NCS
NL GROUP LIMITED,AD6
NO 27 (BURNSIDE CARE),NVH
NON INVASIVE CARDIOLOGY SERVICES LTD,NJL
NORFOLK SURGICAL DIAGNOSTIC CENTRE,NPC
NORK CLINIC,NYK
NORTH CHARNWOOD GP NETWORK LTD,DA8
NORTH CORNWALL PHYSIOTHERAPY,NHR
NORTH EAST COMMUNITY HEALTH NETWORK,AC8
NORTH EAST ORTHOPAEDIC AND SPORTS INJURY SURGERY LTD,NQ3
NORTH EAST PODIATRY,NJC
NORTH EAST RESCUE AND MEDICAL SERVICES LTD,DJ9
NORTH EASTERN DERBYSHIRE HEALTHCARE LIMITED,DEA
NORTH HAMPSHIRE URGENT CARE,NHX
NORTH KENT MIND,DA5
NORTH LAMBETH PRACTICES LIMITED,AX5
NORTH LEWISHAM HEALTH LIMITED,AVV
NORTH NORFOLK HEALTHCARE CIC LTD,NPK
NORTH SOMERSET COMMUNITY PARTNERSHIP COMMUNITY INTEREST COMPANY,NLT
NORTH WEST LEICESTERSHIRE GP LIMITED,AJT
NORTHAMPTONSHIRE FORENSIC MEDICAL SERVICES,ACY
NORTHAMPTONSHIRE PSYCHOLOGICAL CARE SERVICE LTD,ARJ
NORTHANTS ACCOMMODATION SOCIAL CARE,NJW
NORTHERN HEALTH GPPO LTD,AQR
NORTHFIELD ALLIANCE LIMITED,AYR
NORTHGATE PUBLIC SERVICES,NWY
NORTHPOINT WELLBEING LIMITED,ADX
NORTHWEST DIAGNOSTIC & TREATMENT SERVICES,ADF
NORWICH & NORFOLK SURGICAL LTD (N2S),DFQ
NORWICH PRACTICES LIMITED,NMH
NOTTINGHAM CITYCARE PARTNERSHIP,NR3
NOVUS HEALTH LTD,NQH
NSL CARE SERVICES HQ,AV6
NUFFIELD HEALTH,NT2
NWSURREY LOCALITY HUBS,AWQ
OAKTREE MIDLANDS LIMITED,DCT
OASIS TALKING THERAPIES CIC,DDM
OFF CENTRE LIMITED,DF4
ONE CARE (BNSSG) LIMITED,AQ7
ONE HEALTH,DGW
ONE HEALTH LEWISHAM LTD,DAJ
ONE HEALTHCARE,AVQ
ONE MEDICAL GROUP LIMITED,AXT
ONE STOP DOCTORS LIMITED,AWR
ONE TO ONE (NORTH WEST) LIMITED,NDE
ONE TO ONE PHYSIOTHERAPY & REHABILITATION CENTRE,NYL
ONE WIGHT HEALTH,DJP
OPEN DOOR SURGERY (HQ),ANC
OPTEGRA UK,NNH
OPTYCO LTD,AJP
ORBIT HEALTHCARE LTD,AV7
ORCHARD 2000 GROUP,NV0
ORCHARD PORTMAN HOUSE LTD,AKT
ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL,NQM
ORWELL HOUSING ASSOCIATION LIMITED,DF1
OSTEOPATHY PLUS LTD,STJ
OTHER PRIVATE HEALTHCARE PROVIDERS,NTY
OTTO BOCK HEALTHCARE PLC,AGY
OUTLOOK SOUTH WEST LLP,AM5
OXFED HEALTH & CARE LTD,DDH
OXFORD & BUCKS UROLOGY PARTNERSHIP LTD,AEA
OXFORD PRIVATE MEDICAL PRACTICE LTD,DDT
OXTED HEALTH CENTRE,NGD
PALL MALL MEDICAL LTD,DCG
PALM TREE HOME CARE LIMITED (HQ),AGP
PALMARIS HEALTHCARE LIMITED,AVA
PARKSIDE MEDICAL CENTRE,NCT
PARTNERS4HEALTH,NCI
PARTNERSHEALTH LLP,AWP
PARTNERSHIPS IN CARE LTD,NMV
PASTORAL CYMRU,NM4
PATIENTFIRST SOCIAL ENTERPRISE,NAL
PAYDENS (NURSING HOMES) LTD,NMX
PCRM LIMITED,NKJ
PDS MEDICAL LTD,NV6
PEACOCKS MEDICAL GROUP LTD,NAI
PENINSULA COMMUNITY HEALTH C.I.C,NLL
PENINSULA GENERAL SURGERY LTD,NP8
PENINSULA HEALTH LLP,NMN
PENINSULA PLASTIC SURGERY LTD,NVD
PENINSULA TRAUMA NETWORK,ATH
PENINSULA ULTRASOUND LIMITED,NEF
PENINSULA UROLOGY LTD,NP7
PENNINE GP ALLIANCE LTD,AQH
PENNINE MUSCULOSKELETAL PARTNERSHIP (ICATS),NLF
PENNY BROHN CANCER CARE,NJF
PERFECT CARE LTD,NJP
PERSONALISED 4 AUTISM,AAM
PERTEMPS MEDICAL,DJE
PHILIP MCGUCKEN LTD,NJM
PHL OUT OF HOURS LTD,AQN
PHOENIX HEALTH SOLUTIONS LIMITED HQ,NEQ
PHYSIO & HEALTH MATTERS LTD,AG8
PHYSIO R US LIMITED,AY4
PHYSIO.CO.UK,AG2
PHYSIOLOGIC PAIN RELIEF SOLUTIONS LTD,AKY
PHYSIOLOGICAL MEASUREMENTS LTD,NXV
PHYSIOTHERAPY MATTERS LIMITED,NJQ
PHYSIOTHERAPY REWARD,AWF
PHYSIOTHERAPY2FIT LTD,NIL
PHYSIO-WORKS (UK) LTD,ANY
PICKARD JOAN (COUNSELLOR HQ),AM4
PIMS PATHWAY LTD,NNR
PIONEER HEALTHCARE LIMITED,NEY
PLATFORM 7 LIMITED,DAR
PLYMOUTH CHIROPRACTIC CLINIC,DDD
PML COUNSELLING SERVICE (HQ),AMA
POLARIS MEDICAL SERVICES LIMITED,DGQ
PORTSMOUTH PRIMARY CARE ALLIANCE LTD,AR7
PRACTICE BASED CLINICAL SERVICES LIMITED,AWH
PREM HOUSE CLINIC LTD,NTK
PREMIER CARE (MIDLANDS) LTD.,DHY
PREMIER CHILDREN AND YOUNG PEOPLE'S CARE AND PROTECTION SERVICES LTD,NJR
PREMIER PHYSICAL HEALTHCARE LTD,NCP
PRE-SCHOOL LEARNING ALLIANCE,AXJ
PRESTON PRIMARY CARE CENTRE LTD,NJD
PRIDERM LLP,NY0
PRIMARY CARE CHESHIRE CIC,ATV
PRIMARY CARE LINCOLSNHIRE MEDICAL SERVICES LIMITED,DFW
PRIMARY CARE PARTNERSHIP SERVICES LIMITED,NIM
PRIMARY CARE SHEFFIELD LTD,ARL
PRIMARY CARE WARWICKSHIRE LTD,AJL
"PRIMARY EYECARE (AIREDALE, BRADFORD & LEEDS) LIMITED",AF6
PRIMARY EYECARE (AVON) LIMITED HQ,AGV
"PRIMARY EYECARE (BARNET, ENFIELD & HARINGEY) LIMITED",AF7
PRIMARY EYECARE (BEDFORDSHIRE) LIMITED,AF8
"PRIMARY EYECARE (BEXLEY, BROMLEY & GREENWICH) LIMITED",AF9
PRIMARY EYECARE (CAMBRIDGESHIRE) LIMITED,AGG
PRIMARY EYECARE (CAMDEN & ISLINGTON) LIMITED,AFA
PRIMARY EYECARE (CHESHIRE) LIMITED,AFC
PRIMARY EYECARE (CORNWALL & ISLES OF SCILLY) LIMITED,AFE
PRIMARY EYECARE (COVENTRY) LIMITED,AFF
PRIMARY EYECARE (CROYDON) LIMITED,AFG
PRIMARY EYECARE (DEVON) LIMITED,AEP
PRIMARY EYECARE (DONCASTER) LIMITED,AFH
PRIMARY EYECARE (DORSET) LIMITED,AFJ
PRIMARY EYECARE (EAST LONDON & CITY) LIMITED,AF2
PRIMARY EYECARE (EAST MIDLANDS) LIMITED,AFP
PRIMARY EYECARE (ESSEX) LIMITED,AFK
PRIMARY EYECARE (GLOUCESTERSHIRE) LIMITED,AFL
PRIMARY EYECARE (HEART OF WEST MIDLANDS) LIMITED,AFM
PRIMARY EYECARE (HERTFORDSHIRE) LTD,AWD
PRIMARY EYECARE (KENT & MEDWAY) LIMITED,AF3
PRIMARY EYECARE (LANCASHIRE) LTD,AJ5
PRIMARY EYECARE (LINCOLNSHIRE) LIMITED,AF4
PRIMARY EYECARE (MERSEYSIDE) LIMITED,AFN
"PRIMARY EYECARE (MERTON, SUTTON & WANDSWORTH) LIMITED",AEV
PRIMARY EYECARE (NORFOLK & WAVENEY) LIMITED,AGR
PRIMARY EYECARE (NORTH EAST) LIMITED,AET
PRIMARY EYECARE (NORTH YORKSHIRE & HUMBER) LIMITED,AED
PRIMARY EYECARE (OXFORDSHIRE) LIMITED,AFQ
PRIMARY EYECARE (SHEFFIELD) LIMITED,AFR
PRIMARY EYECARE (SHROPSHIRE & STAFFORDSHIRE) LIMITED,AFT
PRIMARY EYECARE (SUSSEX) LIMITED,AFV
PRIMARY EYECARE WIRRAL,DCC
PRIMARY HEALTHCARE DARLINGTON LTD,AMR
PRIMARY INTEGRATED COMMUNITY SERVICES LTD,ADN
PRIMARY PROVIDER COMPANY LIMITED,NCC
PRIME DIAGNOSTICS LIMITED,NPP
PRIME PRACTICE PARTNERSHIP LTD,ALP
PRIMECARE PRIMARY CARE,NQR
PRIMEGP PLC,APQ
PRIORITYLINKS LIMITED,NBH
PRIORY GROUP LIMITED,NTN
PRIORY MEDICAL CENTRE ENDOSCOPY SERVICE,AVD
PRIVATE GP SERVICES,DJF
PRIVATE PSYCHIATRY LLP,AXY
PROBUS SURGERY LIMITED,NAM
PROCARE HEALTH LIMITED,AQG
PROTON PARTNERS INTERNATIONAL LIMITED,DCM
PROVIDE,NQA
PSICON LIMITED,NJJ
PSYCHOLOGICAL HEALTH AND WELLBEING SERVICE LTD,NHO
PURE HOMECARE,AXF
PUSH DR LIMITED,DH6
PUTNEYMEAD GROUP MEDICAL PRACTICE (HQ),AN5
QUALITY HEALTH LTD,NXT
QUAY HEALTH SOLUTIONS CIC,AEG
QUAY MEDICAL LTD,NLJ
QUEEN ANNE STREET MEDICAL CENTRE,DEL
QUEENS PHYSIOTHERAPY AND SPORTS INJURY CLINIC,NI7
R & T (BOSTON) LIMITED,AG3
RAINHAM PHYSIOTHERAPY CENTRE,NHF
RAMSAY HEALTHCARE UK OPERATIONS LIMITED,NVC
RAPHAEL HEALTHCARE LTD,NR0
RAPID IMPROVEMENT LIMITED,DGX
RAUF MEDICARE LIMITED,DDQ
RAVENSCROFT HEALTHCARE LTD,NCF
READY TO TALK CIC,AMM
REALHEALTH(UK) LIMITED,NWN
REDBRIDGE COUNCIL FOR VOLUNTARY SERVICE,DJA
REDBRIDGE OSTEOPATHS,AP7
REFLEXIVE SOLUTIONS LTD,ADM
REGIONAL HEARING SPECIALISTS LTD,NY7
REHABILITATION AND THERAPY SKILLS DEVELOPMENT LTD,AT7
RELATE,AYV
RELATE (AVON) (HQ),AMN
RELATE (BEDFORDSHIRE AND LUTON) (HQ),AMP
RELATE (BRADFORD),AM0
"RELATE DACORUM, WATFORD AND THREE RIVERS",AYQ
REMOTEHEALTH TECH LIMITED,DHE
REPRODUCTIVE HEALTH GROUP LIMITED,AHE
RESPIRICARE LIMITED,AV1
RESPONSE PHYSIOTHERAPY LTD HQ,AE5
RETHINK MENTAL ILLNESS,NO6
RIALTO CARE SERVICES,NM0
RICHMOND GENERAL PRACTICE ALLIANCE LTD,APE
RILA PUBLICATIONS LTD,AAC
RIPPLEZ CIC,NDW
RIVERDALE GRANGE LIMITED,NRC
RM PARTNERS,AY3
ROBIN NEWELL OSTEOPATH,NHK
ROMNEY MARSH PHYSIOTHERAPY CENTRE,AKW
ROTHERHAM & BARNSLEY MIND,DCE
ROYAL SOCIETY FOR PUBLIC HEALTH,AXD
SAFECARE NETWORK LIMITED,ALX
SALFORD PRIMARY CARE TOGETHER,AR6
SALUS MEDICAL SERVICES LIMITED,DFT
SANDY HILL PHYSIO LTD,NDS
SAROIA STAFFING SERVICES LIMITED,AQ9
SCAN ASSURE MEDICAL ULTRASOUND LIMITED,NFB
SCRIVENS LTD,NXX
SECOND STEP,ALW
SELF HELP SERVICES,AMC
SELLINDGE PRACTICE LTD,NNS
SENTINEL HEALTHCARE SOUTHWEST COMMUNITY INTEREST COMPANY,NWE
SEQOL,NLY
SERCO LTD,NEN
SERENITY-SEQUEL HEALTHCARE LTD,NAK
SEVENOAKS AREA MIND HQ,ALN
SG RADIOLOGY AND ASSOCIATES LIMITED,NFQ
SHEPHERD CHIROPODY,NKL
SHIELD HEALTHCARE,AGD
SHIRE HEALTH LTD,AKM
SHREEJI OPHTHALMIC PRIMARY CARE SERVICES LLP (HQ),AJG
SHUROPODY FOOTCARE LTD,NKA
SIGN HEALTH (HQ),AM7
SIMON BACON LTD,NDI
SIRONA CARE & HEALTH,NLX
SIX DEGREES SOCIAL ENTERPRISE CIC,NCM
SJ HELPLINE SERVICES CIC,NDH
SK HEALTH LTD,NAA
SK:N (LASERCARE CLINICS LTD),NLU
SKELMERSDALE FAMILY PRACTICE GPSI SERVICES,DGA
SMART CJS,AA8
SMGPF LIMITED,AGT
SMILE TOGETHER DENTAL CIC,AWK
SOCIAL ADVENTURES LIMITED,NR4
SOLENT MEDICAL SERVICES LIMITED,NNC
SOLICITUDE LTD,AAG
SOMERSET PRIMARY HEALTHCARE LIMITED,AEX
SOMERSET SURGICAL SERVICES HQ,NFH
SONARCARE LIMITED,NMI
SOUTH CHARNWOOD GP NETWORK LIMITED,ALK
SOUTH CHESHIRE & VALE ROYAL PRIMARY CARE ACCESS HUB,DG6
SOUTH DEVON OSTEOPATHS LTD,NKR
SOUTH DOC SERVICES LIMITED HQ,NIT
SOUTH DURHAM HEALTH C.I.C.,DFE
SOUTH EAST FERTILITY CLINIC LTD,NBR
SOUTH EAST LAMBETH HEALTH PARTNERSHIP,AT9
SOUTH EAST ULTRASOUND LTD,ALC
SOUTH EASTERN HAMPSHIRE ALLIANCE LIMITED,AQY
SOUTH ESSEX EMERGENCY DOCTORS SERVICE,NGE
SOUTH ISLINGTON GP ALLIANCE LIMITED,DCH
SOUTH NORFOLK HEALTHCARE CIC,NPJ
SOUTH TEES MEDICAL LTD,DCV
SOUTH TEES MEDICAL LTD,DCY
SOUTH WARWICKSHIRE GP LIMITED,APJ
SOUTH WEST ADVICE AND NEUROLOGY SERVICES (SWANS),AP8
SOUTH WEST BARIATRIC SURGERY GROUP,NQF
SOUTH WORCESTERSHIRE PRIMARY CARE LIMITED,AJ4
SOUTH YORKSHIRE DIAGNOSTICS LIMITED,NHD
SOUTHAMPTON PRIMARY CARE LIMITED,AR4
SOUTHERN ALLIANCE HEALTHCARE,NNM
SOUTHERN CROSS HEALTHCARE GROUP PLC,NR7
SOUTHERN HAMPSHIRE PRIMARY CARE ALLIANCE,DJ2
SOUTHERN INDEPENDENT MEDICAL PRACTICE LIMITED,AQ2
SOUTHPORT AND FORMBY HEALTH LIMITED,AYK
SPAMEDICA,NPG
SPC PHYSIOTHERAPY & SPORTS INJURY CENTRE,DFP
SPECIALIST CARDIAC DIAGNOSTICS LTD,AYD
SPECIALIST HEALTH SERVICES LIMITED,NX4
SPECIALIST MEDICAL IMAGING LIMITED,NWW
SPECSAVERS HEARCARE GROUP LTD,NYN
SPECTRUM COMMUNITY HEALTH - CIC,NL1
SPINES PHYSIOTHERAPY CLINIC,DGR
SPIRAL HEALTH C.I.C,NQK
SPIRE HEALTHCARE,NT3
SPRINGDALE HEALTH LTD,NLD
SRCL LTD,ARE
SSAFA CARE CIC,AAE
ST ALBANS & HARPENDEN MUSCULOSKELETAL CATS,NX6
ST ANDREW'S HEALTHCARE,NYA
ST ANNE'S,NP5
ST DAVIDS HOME,AEH
ST GEORGE HEALTHCARE GROUP,NQ4
ST GEORGES HOSPITAL LTD,NM6
ST GEORGE'S HOSPITAL MEDICAL SCHOOL,NMR
ST JOSEPHS PRIVATE HOSPITAL,NPX
ST LUKES HOSPICE (HARROW),DJ0
ST MARGARETS HOSPICE,AJ3
ST MARTINS HEALTHCARE SERVICES CIC,ALM
ST MATTHEWS HEALTHCARE,NFJ
ST MICHAEL'S CLINIC LIMITED,AHP
ST MICHAEL'S HOSPICE,ARD
ST WILFRID'S HOSPICE,ARF
ST. LUKE'S HEALTH CARE,NR6
STADN LTD,DH7
STAHMIS,NDG
STANDARD HEALTH LTD,NHW
STAPELY HOSPITAL,NMD
STARFISH HEALTH AND WELLBEING (HQ),AMK
STARFISH HEALTH AND WELLBEING HQ,AEY
STELLAR HEALTHCARE,AH5
STEPPING STONE CARE HOMES,NFR
STEPS REHABILITATION LIMITED,DF7
STEREOPSIS LTD,ANE
STERIA LIMITED,NN2
STEVEN ORTON LTD,NKC
STREATHAM YOUNG PERSON'S CLINIC,NAC
SUDBURY HEALTHCARE PARTNERSHIP LIMITED,NQ2
SUFFOLK COMMUNITY HEALTHCARE,NHM
SUFFOLK GP FEDERATION,NDL
SUFFOLK INTEGRATED HEALTHCARE,NXR
SUFFOLK PRIMARY CARE,DJ7
SUNDERLAND GP ALLIANCE LIMITED,ATE
SUPPORTIVE CARE (UK) LIMITED,DGL
SURGMED GROUP LIMITED,DCP
SURREY & SUSSEX CONSULTANT PARTNERSHIP LIMITED,NM8
SURREY HEALTHY CHILDREN AND FAMILIES LLP,DJQ
SURREY MEDICAL NETWORK,DAA
SURREY ULTRASOUND SERVICES,NBU
SURVIVORS MANCHESTER,DA2
SUSAN SHOWELL-WESTRIP - PSYCHOLOGICAL THERAPIST,NEU
SUSSEX COMMUNITY DERMATOLOGY SERVICE,NYG
SUSSEX HEALTH CARE AUDIOLOGY LTD,NL2
SUSSEX MEDICAL CENTRE LTD,NMC
SUSSEX MSK PARTNERSHIP 2,AJX
SUTTON GP SERVICES LIMITED,AVN
SUTTON MEDICAL CONSULTING CENTRE,NCW
SW LAMBETH HEALTH CARE LIMITED,AX6
SWAN GP CLUSTER,DFV
SWANSWELL CHARITABLE TRUST,AKV
SYDENHAM HOUSE GROUP,NT0
SYDENHAM HOUSE MEDICAL PRACTICE,AAX
SYMBOL (UK) LIMITED,AE0
SYMPHONY HEALTHCARE SERVICES LIMITED,DCN
SYNCHRONICITY CARE LTD,AX2
TABA+ GP CLUSTER,DG0
TALKING THERAPIES LTD,NNI
TALKPLUS,NCH
TARPORLEY WAR MEMORIAL HOSPITAL TRUST,NME
TAURUS HEALTHCARE LTD,NGX
TEASDALE HEALTHCARE LTD,AXV
TEMENOS PSYCHOTHERAPY AND COUNSELLING,AYY
